Sample,Points,Mean,Std,Min,Max,RMS,Peak2Peak,Energy,Group
SR2-3(2),1200,0.02451666666666667,0.06090900088565638,-0.232,0.284,0.06565800281255389,0.516,5.173168,SR
SR3-4 (1),1200,1.3136649999999999,0.08628030544877163,0.792,1.83,1.3164953563660349,1.038,2079.792028,SR
SR3-4(2),1200,-0.47608000000000006,0.0669785557722271,-0.66,-0.264,0.48076844045063244,0.396,277.365952,SR
SR3-5 (1),1200,1.6029833333333334,0.05192077030330814,1.38,1.81,1.6038239720534586,0.43000000000000016,3086.7016000000003,SR
SR3-5( 2),1200,-0.20814333333333332,0.07395561364013478,-0.752,0.044,0.22089155710438552,0.796,58.55169600000001,SR
SR4-0,1200,1.0396,0.049762569601391526,0.768,1.27,1.0407903118944437,0.502,1299.893368,SR
SR4-1,1200,-0.40189333333333327,0.0547882160890663,-0.64,-0.144,0.40561065074773367,0.496,197.42399999999998,SR
SR4-2,1200,-0.28108666666666665,0.06035930601176775,-0.536,-0.04,0.2874942782039323,0.49600000000000005,99.183552,SR
SR2-3(2),1200,0.02451666666666667,0.06090900088565638,-0.232,0.284,0.06565800281255389,0.516,5.173168,SR
SR4-4,1200,-0.61987,0.061258548519097865,-0.848,-0.428,0.6228895782292931,0.42,465.589712,SR
SR4-5,1200,0.06113666666666667,0.05962908676886549,-0.184,0.296,0.08540093676301215,0.48,8.751984,SR
